listing_id,name,criterion,component_score,normalized_weight,weighted_contribution
SYN-014,Scholars Landing,affordability,10.0,0.16,1.6
SYN-014,Scholars Landing,safety,7.9,0.17,1.343
SYN-014,Scholars Landing,commute,10.0,0.15,1.5
SYN-014,Scholars Landing,convenience,9.2,0.09,0.828
SYN-014,Scholars Landing,management,8.1,0.1,0.81
SYN-014,Scholars Landing,quiet,6.9,0.1,0.69
SYN-014,Scholars Landing,space,8.4,0.06,0.504
SYN-014,Scholars Landing,application,9.5,0.07,0.665
SYN-014,Scholars Landing,timing,9.7333,0.05,0.4867
SYN-014,Scholars Landing,freshness,10.0,0.03,0.3
SYN-014,Scholars Landing,completeness,10.0,0.02,0.2
SYN-003,Atlas House,affordability,9.7789,0.16,1.5646
SYN-003,Atlas House,safety,8.5,0.17,1.445
SYN-003,Atlas House,commute,10.0,0.15,1.5
SYN-003,Atlas House,convenience,8.8,0.09,0.792
SYN-003,Atlas House,management,8.3,0.1,0.83
SYN-003,Atlas House,quiet,7.8,0.1,0.78
SYN-003,Atlas House,space,8.9,0.06,0.534
SYN-003,Atlas House,application,7.8,0.07,0.546
SYN-003,Atlas House,timing,7.619,0.05,0.381
SYN-003,Atlas House,freshness,10.0,0.03,0.3
SYN-003,Atlas House,completeness,10.0,0.02,0.2
SYN-002,Cedar Square Apartments,affordability,8.3579,0.16,1.3373
SYN-002,Cedar Square Apartments,safety,8.7,0.17,1.479
SYN-002,Cedar Square Apartments,commute,8.0952,0.15,1.2143
SYN-002,Cedar Square Apartments,convenience,8.5,0.09,0.765
SYN-002,Cedar Square Apartments,management,8.6,0.1,0.86
SYN-002,Cedar Square Apartments,quiet,8.8,0.1,0.88
SYN-002,Cedar Square Apartments,space,6.2,0.06,0.372
SYN-002,Cedar Square Apartments,application,9.0,0.07,0.63
SYN-002,Cedar Square Apartments,timing,9.6667,0.05,0.4833
SYN-002,Cedar Square Apartments,freshness,10.0,0.03,0.3
SYN-002,Cedar Square Apartments,completeness,10.0,0.02,0.2
SYN-008,Willow Court,affordability,10.0,0.16,1.6
SYN-008,Willow Court,safety,8.3,0.17,1.411
SYN-008,Willow Court,commute,8.5714,0.15,1.2857
SYN-008,Willow Court,convenience,8.0,0.09,0.72
SYN-008,Willow Court,management,7.0,0.1,0.7
SYN-008,Willow Court,quiet,7.5,0.1,0.75
SYN-008,Willow Court,space,7.8,0.06,0.468
SYN-008,Willow Court,application,8.0,0.07,0.56
SYN-008,Willow Court,timing,10.0,0.05,0.5
SYN-008,Willow Court,freshness,10.0,0.03,0.3
SYN-008,Willow Court,completeness,10.0,0.02,0.2
SYN-006,Riverstone Commons,affordability,10.0,0.16,1.6
SYN-006,Riverstone Commons,safety,8.8,0.17,1.496
SYN-006,Riverstone Commons,commute,5.2381,0.15,0.7857
SYN-006,Riverstone Commons,convenience,7.0,0.09,0.63
SYN-006,Riverstone Commons,management,8.2,0.1,0.82
SYN-006,Riverstone Commons,quiet,9.1,0.1,0.91
SYN-006,Riverstone Commons,space,9.0,0.06,0.54
SYN-006,Riverstone Commons,application,7.0,0.07,0.49
SYN-006,Riverstone Commons,timing,9.3667,0.05,0.4683
SYN-006,Riverstone Commons,freshness,10.0,0.03,0.3
SYN-006,Riverstone Commons,completeness,10.0,0.02,0.2
SYN-004,Beacon Gardens,affordability,7.6,0.16,1.216
SYN-004,Beacon Gardens,safety,9.2,0.17,1.564
SYN-004,Beacon Gardens,commute,6.1905,0.15,0.9286
SYN-004,Beacon Gardens,convenience,7.2,0.09,0.648
SYN-004,Beacon Gardens,management,8.0,0.1,0.8
SYN-004,Beacon Gardens,quiet,9.4,0.1,0.94
SYN-004,Beacon Gardens,space,8.2,0.06,0.492
SYN-004,Beacon Gardens,application,7.5,0.07,0.525
SYN-004,Beacon Gardens,timing,10.0,0.05,0.5
SYN-004,Beacon Gardens,freshness,10.0,0.03,0.3
SYN-004,Beacon Gardens,completeness,10.0,0.02,0.2
SYN-001,Harbor Point Residences,affordability,2.7632,0.16,0.4421
SYN-001,Harbor Point Residences,safety,9.0,0.17,1.53
SYN-001,Harbor Point Residences,commute,10.0,0.15,1.5
SYN-001,Harbor Point Residences,convenience,9.0,0.09,0.81
SYN-001,Harbor Point Residences,management,9.2,0.1,0.92
SYN-001,Harbor Point Residences,quiet,7.6,0.1,0.76
SYN-001,Harbor Point Residences,space,8.0,0.06,0.48
SYN-001,Harbor Point Residences,application,8.5,0.07,0.595
SYN-001,Harbor Point Residences,timing,9.9333,0.05,0.4967
SYN-001,Harbor Point Residences,freshness,10.0,0.03,0.3
SYN-001,Harbor Point Residences,completeness,10.0,0.02,0.2
SYN-007,University Edge,affordability,4.9737,0.16,0.7958
SYN-007,University Edge,safety,8.1,0.17,1.377
SYN-007,University Edge,commute,10.0,0.15,1.5
SYN-007,University Edge,convenience,9.5,0.09,0.855
SYN-007,University Edge,management,8.8,0.1,0.88
SYN-007,University Edge,quiet,6.5,0.1,0.65
