scenario,listing_id,rank,eligible,total_score
baseline,SYN-014,1,true,8.9267
baseline,SYN-003,2,true,8.8726
baseline,SYN-002,3,true,8.5209
baseline,SYN-008,4,true,8.4947
baseline,SYN-006,5,true,8.24
baseline,SYN-004,6,true,8.1136
baseline,SYN-001,7,true,8.0338
baseline,SYN-007,8,true,7.6688
baseline,SYN-012,9,false,8.3593
baseline,SYN-005,10,false,8.1092
baseline,SYN-013,11,false,7.8309
baseline,SYN-010,12,false,7.6241
baseline,SYN-009,13,false,7.4767
baseline,SYN-011,14,false,7.4644
budget_minus_10pct,SYN-014,1,true,8.8144
budget_minus_10pct,SYN-003,2,true,8.7087
budget_minus_10pct,SYN-008,3,true,8.4947
budget_minus_10pct,SYN-002,4,true,8.3317
budget_minus_10pct,SYN-006,5,true,8.2148
budget_minus_10pct,SYN-004,6,true,7.7065
budget_minus_10pct,SYN-001,7,true,7.5917
budget_minus_10pct,SYN-007,8,true,7.0106
budget_minus_10pct,SYN-012,9,false,8.1724
budget_minus_10pct,SYN-005,10,false,7.9211
budget_minus_10pct,SYN-010,11,false,7.5315
budget_minus_10pct,SYN-013,12,false,7.5031
budget_minus_10pct,SYN-009,13,false,7.4767
budget_minus_10pct,SYN-011,14,false,6.8291
budget_plus_10pct,SYN-014,1,true,8.9267
budget_plus_10pct,SYN-003,2,true,8.908
budget_plus_10pct,SYN-002,3,true,8.6757
budget_plus_10pct,SYN-001,4,true,8.6045
budget_plus_10pct,SYN-008,5,true,8.4947
budget_plus_10pct,SYN-004,6,true,8.2794
budget_plus_10pct,SYN-006,7,true,8.24
budget_plus_10pct,SYN-007,8,true,8.0665
budget_plus_10pct,SYN-012,9,false,8.5123
budget_plus_10pct,SYN-005,10,false,8.2631
budget_plus_10pct,SYN-013,11,false,7.9935
budget_plus_10pct,SYN-009,12,false,7.8196
budget_plus_10pct,SYN-011,13,false,7.7201
budget_plus_10pct,SYN-010,14,false,7.6241
commute_cap_minus_20pct,SYN-014,1,true,8.9267
commute_cap_minus_20pct,SYN-003,2,true,8.7476
commute_cap_minus_20pct,SYN-002,3,true,8.3245
commute_cap_minus_20pct,SYN-008,4,true,8.3161
commute_cap_minus_20pct,SYN-001,5,true,7.9981
commute_cap_minus_20pct,SYN-007,6,true,7.6688
commute_cap_minus_20pct,SYN-012,7,false,8.145
commute_cap_minus_20pct,SYN-005,8,false,7.9485
commute_cap_minus_20pct,SYN-006,9,false,7.8829
commute_cap_minus_20pct,SYN-004,10,false,7.8279
commute_cap_minus_20pct,SYN-013,11,false,7.6881
commute_cap_minus_20pct,SYN-009,12,false,7.4767
commute_cap_minus_20pct,SYN-010,13,false,7.217
commute_cap_minus_20pct,SYN-011,14,false,7.2144
move_in_tolerance_halved,SYN-014,1,true,8.9267
move_in_tolerance_halved,SYN-003,2,true,8.7416
move_in_tolerance_halved,SYN-002,3,true,8.5209
move_in_tolerance_halved,SYN-008,4,true,8.4947
move_in_tolerance_halved,SYN-006,5,true,8.24
move_in_tolerance_halved,SYN-004,6,true,8.1136
move_in_tolerance_halved,SYN-001,7,true,8.0338
move_in_tolerance_halved,SYN-012,8,false,8.3593
move_in_tolerance_halved,SYN-005,9,false,8.1092
move_in_tolerance_halved,SYN-013,10,false,7.8309
move_in_tolerance_halved,SYN-010,11,false,7.6241
move_in_tolerance_halved,SYN-007,12,false,7.5498
move_in_tolerance_halved,SYN-009,13,false,7.4767
move_in_tolerance_halved,SYN-011,14,false,7.4644
safety_floor_plus_1,SYN-003,1,true,8.8726
safety_floor_plus_1,SYN-002,2,true,8.5209
safety_floor_plus_1,SYN-006,3,true,8.24
safety_floor_plus_1,SYN-004,4,true,8.1136
safety_floor_plus_1,SYN-001,5,true,8.0338
safety_floor_plus_1,SYN-014,6,false,8.9267
safety_floor_plus_1,SYN-008,7,false,8.4947
safety_floor_plus_1,SYN-012,8,false,8.3593
safety_floor_plus_1,SYN-005,9,false,8.1092
safety_floor_plus_1,SYN-013,10,false,7.8309
safety_floor_plus_1,SYN-007,11,false,7.6688
safety_floor_plus_1,SYN-010,12,false,7.6241
safety_floor_plus_1,SYN-009,13,false,7.4767
safety_floor_plus_1,SYN-011,14,false,7.4644
weight_affordability_minus_25pct,SYN-014,1,true,8.8819
weight_affordability_minus_25pct,SYN-003,2,true,8.8348
weight_affordability_minus_25pct,SYN-002,3,true,8.5277
weight_affordability_minus_25pct,SYN-008,4,true,8.432
weight_affordability_minus_25pct,SYN-001,5,true,8.2534
weight_affordability_minus_25pct,SYN-006,6,true,8.1667
weight_affordability_minus_25pct,SYN-004,7,true,8.135
weight_affordability_minus_25pct,SYN-007,8,true,7.7811
weight_affordability_minus_25pct,SYN-012,9,false,8.3541
weight_affordability_minus_25pct,SYN-005,10,false,8.0962
weight_affordability_minus_25pct,SYN-013,11,false,7.8314
weight_affordability_minus_25pct,SYN-009,12,false,7.7882
weight_affordability_minus_25pct,SYN-010,13,false,7.5251
weight_affordability_minus_25pct,SYN-011,14,false,7.5145
weight_affordability_plus_25pct,SYN-014,1,true,8.9679
weight_affordability_plus_25pct,SYN-003,2,true,8.9074
weight_affordability_plus_25pct,SYN-008,3,true,8.5526
weight_affordability_plus_25pct,SYN-002,4,true,8.5146
weight_affordability_plus_25pct,SYN-006,5,true,8.3077
weight_affordability_plus_25pct,SYN-004,6,true,8.0938
weight_affordability_plus_25pct,SYN-001,7,true,7.8311
weight_affordability_plus_25pct,SYN-007,8,true,7.5652
weight_affordability_plus_25pct,SYN-012,9,false,8.3641
weight_affordability_plus_25pct,SYN-005,10,false,8.1212
weight_affordability_plus_25pct,SYN-013,11,false,7.8306
weight_affordability_plus_25pct,SYN-010,12,false,7.7155
weight_affordability_plus_25pct,SYN-011,13,false,7.4182
weight_affordability_plus_25pct,SYN-009,14,false,7.1891
weight_application_minus_25pct,SYN-014,1,true,8.9165
